Name,Code,Average Profit[%],Pred Accuracy[%],Tomorrow Pred
동원시스템즈,014820.KS,-0.756158753538796,28.599999999999998,8.999999761581421
두산,000150.KS,-0.08585230882997756,57.099999999999994,4.000000059604645
두산밥캣,241560.KS,-1.029772540601556,28.599999999999998,3.0000001192092896
두산인프라코어,042670.KS,-0.7290774430873773,57.099999999999994,6.9999998807907104
두산중공업,034020.KS,-1.2191860606148872,14.299999999999999,-0.0
락앤락,115390.KS,0.7059913109350932,42.9,3.0000001192092896
롯데관광개발,032350.KS,-0.8998864656693623,28.599999999999998,-4.000000059604645
롯데쇼핑,023530.KS,1.3996535706815323,57.099999999999994,10.0
롯데정밀화학,004000.KS,0.282604478429314,57.099999999999994,-3.0000001192092896
롯데지주,004990.KS,-0.09320744427492109,57.099999999999994,8.00000011920929
